apparmor	/usr/lib/systemd/system/apparmor.service
apport	/etc/logrotate.d/apport
apport-core-dump-handler	/usr/lib/systemd/system/apport.service
apt	/etc/logrotate.d/apt
base-files	/usr/lib/systemd/system/motd-news.service
bolt	/usr/lib/systemd/system/bolt.service
console-setup-linux	/usr/lib/systemd/system/console-setup.service
cron	/usr/lib/systemd/system/cron.service
cron-daemon-common	/usr/lib/tmpfiles.d/cron-daemon-common.conf
cryptsetup-bin	/usr/lib/tmpfiles.d/cryptsetup.conf
dbus	/usr/lib/systemd/system/dbus.service
dbus-daemon	/usr/lib/tmpfiles.d/dbus.conf
dbus-system-bus-common	/usr/lib/systemd/system/dbus.socket
dmeventd	/usr/lib/systemd/system/dm-event.service
dpkg	/etc/logrotate.d/alternatives
e2fsprogs	/usr/lib/systemd/system/e2scrub@.service
finalrd	/lib/systemd/system/finalrd.service
friendly-recovery	/lib/systemd/system/friendly-recovery.service
fwupd	/usr/lib/systemd/system/fwupd-offline-update.service
libpam-modules-bin	/usr/lib/systemd/system/pam_namespace.service
libselinux1:arm64	/usr/lib/tmpfiles.d/libselinux1.conf
logrotate	/etc/logrotate.d/btmp
lvm2	/usr/lib/systemd/system/blk-availability.service
lxd-agent-loader	/lib/systemd/system/lxd-agent.service
lxd-installer	/usr/lib/systemd/system/lxd-installer.socket
man-db	/usr/lib/systemd/system/man-db.service
mdadm	/lib/systemd/system/mdadm-grow-continue@.service
modemmanager	/usr/lib/systemd/system/ModemManager.service
multipath-tools	/lib/systemd/system/multipathd.service
needrestart	/usr/share/polkit-1/actions/net.fiasko-nw.needrestart.policy
netplan.io	/usr/share/dbus-1/system-services/io.netplan.Netplan.service
networkd-dispatcher	/lib/systemd/system/networkd-dispatcher.service
nftables	/usr/lib/systemd/system/nftables.service
open-iscsi	/usr/lib/systemd/system/iscsid.service
open-vm-tools	/usr/lib/systemd/system/open-vm-tools.service
packagekit	/usr/lib/systemd/system/packagekit-offline-update.service
passwd	/usr/lib/tmpfiles.d/passwd.conf
plymouth	/etc/logrotate.d/bootlog
polkitd	/usr/lib/systemd/system/polkit.service
pollinate	/usr/lib/systemd/system/pollinate.service
rsync	/usr/lib/systemd/system/rsync.service
rsyslog	/etc/logrotate.d/rsyslog
screen	/usr/lib/tmpfiles.d/screen-cleanup.conf
secureboot-db	/usr/lib/systemd/system/secureboot-db.service
snapd	/lib/systemd/system/snapd.apparmor.service
software-properties-common	/usr/share/dbus-1/system-services/com.ubuntu.SoftwareProperties.service
sudo	/usr/lib/tmpfiles.d/sudo.conf
sysstat	/usr/lib/systemd/system/sysstat-collect.service
systemd	/usr/lib/systemd/system/basic.target
systemd-resolved	/usr/lib/systemd/system/systemd-resolved.service
systemd-timesyncd	/usr/lib/systemd/system/systemd-timesyncd.service
ubuntu-pro-client	/etc/logrotate.d/ubuntu-pro-client
ubuntu-release-upgrader-core	/usr/share/polkit-1/actions/com.ubuntu.release-upgrader.policy
udev	/usr/lib/systemd/system/sockets.target.wants
udisks2	/usr/lib/systemd/system/udisks2.service
ufw	/etc/logrotate.d/ufw
unattended-upgrades	/etc/logrotate.d/unattended-upgrades
update-notifier-common	/lib/systemd/system/update-notifier-download.service
usb-modeswitch	/lib/systemd/system/usb_modeswitch@.service
util-linux	/usr/lib/systemd/system/fstrim.service
uuid-runtime	/usr/lib/systemd/system/uuidd.service
xfsprogs	/usr/lib/systemd/system/xfs_scrub@.service
